11/20/2025 14:31,Gas OTC Indikace,,CZ VTP,,,,,,,,,,,,,,,,,,
Produkt,Ask,Last Trade,Tepl. profil,,,,,,,,,,,,,,,,,,
,€/MWh,Indicator,€/MWh,,,,Last Trade,,,,,,,,,,,,,,
CZ VTP WD,33.960,?,--,,,,Level,,,,,,,,,,,,,,
CZ VTP DA,33.675,?,--,,,,Level,,?,?,?,,,,,,,,,,
CZ VTP Dec-25,34.290,?,--,,,,Up,,,,,,,,,,,,,,
CZ VTP Jan-26,34.690,?,--,,,,Up,,,,,,,,,,,,,,
CZ VTP Feb-26,34.570,?,--,,,,Level,,,,,,,,,,,,,,
CZ VTP Mar-26,34.265,?,--,,,,Up,,,,,,,,,,,,,,
CZ VTP Apr-26,33.730,?,--,,,,Reset,,,,,,,,,,,,,,
CZ VTP Q126,34.495,?,0.10,,,,Down,,,,,,,,,,,,,,
CZ VTP Q226,33.545,?,0.20,,,,Down,,,,,,,,,,,,,,
CZ VTP Q326,33.085,?,0.10,,,,Down,,,,,,,,,,,,,,
CZ VTP Q426,34.330,?,0.20,,,,Down,,,,,,,,,,,,,,
CZ VTP Sum 26,33.245,?,0.20,,,,Up,,,,,,,,,,,,,,
CZ VTP Win 26,34.490,?,0.20,,,,Up,,,,,,,,,,,,,,
CZ VTP Sum 27,30.780,?,0.30,,,,Up,,,,,,,,,,,,,,
CZ VTP Win 27,32.165,?,0.70,,,,Level,,,,,,,,,,,,,,
CZ VTP Sum 28,28.500,?,0.40,,,,Level,,,,,,,,,,,,,,
CZ VTP Win 28,29.840,?,0.50,,,,Level,,,,,,,,,,,,,,
CZ VTP 2026,33.840,?,0.70,,,,Level,,,,,,,,,,,,,,
CZ VTP 2027,31.935,?,1.30,,,,Up,,,,,,,,,,,,,,
CZ VTP 2028,29.665,?,1.40,,,,Down,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
